id,code,subject,catalog nbr,section,class nbr,course title,component,units,topics,Bldg,room,days,time,Instructor,Class Enrl Cap,Class Enrl Tot,Class Wait Cap,Class Wait Tot,Class Min Enrl
10452,AAAD 50,AAAD,50,1,13679,FYS DEFINING BLACKNESS,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Mosquera Muriel,Nadia""]",22,22,0,0,0
10453,AAAD 58,AAAD,58,1,13680,HEALTH INEQUALITY,Lecture(In Person On Campus Learners),3,A, Graham Memorial,210, TuTh , 14:00 - 15:15,"["" BOYD,LYDIA C""]",21,21,0,0,0
10454,AAAD 89,AAAD,89,2,12037,FYS: SPECIAL TOPICS,Lecture(In Person On Campus Learners),3,A, Graham Memorial,213, TuTh , 12:30 - 13:45 WOMEN OF THE BLACK A,"["" Monroe,Alicia Lenis""]",16,16,0,0,0
10455,AAAD 101,AAAD,101,3,6944,INTRO TO AFRICA,Lecture(Remote Only - Synchronous),3,A, TBA, TBA , TuTh , 19:00 - 20:15,"["" Sebastian,Matthew Ryan""]",38,38,999,0,0
10456,AAAD 130,AAAD,130,3,8615,INTRO AFRI AMER & DIASPORA,STDLecture(In Person On Campus Learners),3,A, Dey Hall,206, TuTh , 09:30 - 10:45,"["" Regester,Charlene B.""]",25,21,999,0,0
10457,AAAD 200,AAAD,200,1,13684,GENDER & SEXUALITY IN AFRICA,Lecture(In Person On Campus Learners),3,A, Hanes Art Center,218, TuTh , 15:30 - 16:45,"["" BOYD,LYDIA C""]",20,17,999,0,0
10458,AAAD 214,AAAD,214,1,12040,ETHNOGRAPHY OF AFRICA,Lecture(In Person On Campus Learners),3,A, Murray Hall, G201 , MW , 13:25 - 14:40,"["" LAMBERT,MICHAEL C""]",40,40,999,0,0
10459,AAAD 231,AAAD,231,1,13686,AFRI AMER HISTORY,SINCE(In Person On Campus Learners),1865 Lecture 3,A, Stone Center,209, TuTh , 09:30 - 10:45,"["" Brimmer,Brandi Clay""]",21,16,999,0,0
10460,AAAD 250,AAAD,250,1,12043,BLACKS IN FILM,Lecture(In Person On Campus Learners),3,A, Peabody Hall,2080, Tu , 15:30 - 18:20,"["" Regester,Charlene B.""]",13,4,999,0,0
10461,AAAD 252,AAAD,252,1,12046,AFRICAN AMERICANS IN THE WEST,Lecture(In Person On Campus Learners),3,A, Gardner Hall,7, MW , 17:45 - 19:00,"["" Porter,Robert S.""]",20,14,999,0,0
10462,AAAD 258,AAAD,258,1,11055,CIVIL RIGHTS,Lecture(In Person On Campus Learners),3,A, Phillips Hall,328, TuTh , 09:30 - 10:45,"["" JANKEN,KENNETH R""]",24,22,999,0,0
10463,AAAD 260,AAAD,260,1,12048,BLACKNESS IN LATIN AMERICA,Lecture(In Person On Campus Learners),3,A, Gardner Hall,210, TuTh , 11:00 - 12:15,"["" Mosquera Muriel,Nadia""]",30,26,999,0,0
10464,AAAD 261,AAAD,261,1,12049,AFRO-CUBAN DANCE,Lecture(In Person On Campus Learners),3,A, Kenan Music Bldg,2131, TuTh , 14:00 - 15:15,"["" Berry,Maya Janeen""]",40,40,999,21,0
10465,AAAD 284,AAAD,284,1,6945,AFRICAN DIASP IN THE AMERICAS,Lecture(In Person On Campus Learners),3,A, Phillips Hall,328, TuTh , 15:30 - 16:45,"["" JORDAN,JOSEPH F""]",12,4,999,0,0
10466,AAAD 286,AAAD,286,1,8981,AFRICANS IN COLONIAL AMERICAS,Lecture(In Person On Campus Learners),3,A, Gardner Hall,7, Tu , 19:30 - 22:00,"["" Porter,Robert S.""]",16,9,999,0,0
